Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
3243;8206 101 2022 012 023 1;8206;23/12/22;BANJIR;Kec.  Maba Desa dorolamo;HALMAHERA TIMUR;MALUKU UTARA;Dokumentasi;Dipicu akibat intensitas curah hujan tinggi;;;;0;30;0
3244;6301 105 2022 012 022 1;6301;22/12/22;PUTING BELIUNG;Kec.  Takisung Desa Takisung Kec. Takisung Desa Tabanio Kec. Bati-Bati Desa Benua Raya Kec. Pelaihari Desa Atu-Atu Desa Ambungan Kel Angsau Kec. Kintap Desa Kintap;TANAH LAUT;KALIMANTAN SELATAN;Dokumentasi;Hujan dengan intensitas sedang-lebat disertai angin puting beliung;;;;8;;0
3245;3372 101 2022 012 022 1;3372;22/12/22;BANJIR;Kec.  Pasar Kliwon Kel. Sangkrah Kel.  Kusuma Kel. Pasar Kliwon Kel. Semanggi Kel. Mojo Kel. Joyosuran Kec. Jebres Kel. Gadekan Kel. Jemres Kel. Sewu;KOTA SURAKARTA;JAWA TENGAH;Dokumentasi;Dipicu hujan deras di seputar soloraya;;;;0;729;0
3246;3507 102 2022 012 022 1;3507;22/12/22;TANAH LONGSOR;Kec. Klojen Ds. Penanggungan;MALANG;JAWA TIMUR;Dokumentasi;Curah hujan tinggi mengakibatkan  tanah yang berada di bawah bangunan Balai  tergerus serta menjadi labil hingga menyebabkan amblesnya lantai dan robohnya sebagian dinding Balai;;;;0;;1
3247;1803 105 2022 012 022 1;1803;22/12/22;PUTING BELIUNG;Kec. Palas Desa Pulau Tengah;LAMPUNG SELATAN;LAMPUNG;Dokumentasi;Dipicu angin kencang sehingga menimbulkan kerusakan baik pemukiman dan lahan pertanian.;;;;0;;0
3248;3208 108 2022 012 022 1;3208;22/12/22;GEMPA BUMI;Kec. Cipicung Luragung Desa Susukan;KUNINGAN;JAWA BARAT;Dokumentasi;Telah terjadi gempa bumi dengan kekuatan Mag:3.8, Lok:6.99 LS - 108.48 BT (1 km BaratDaya KAB-KUNINGAN-JABAR), Kedlmn: 5 Km, pada hari Kamis, 22 Desember 2022, Pkl. 04.18.28 WIB mengakibatkan 1 unit rumah retak-retak dan miring di bagian dinding;;;;1;;0
3249;3512 101 2022 012 022 1;3512;22/12/22;BANJIR;Kec. Besuki Ds. Pesisir Besuki Desa Demung Desa kilensari;SITUBONDO;JAWA TIMUR;Dokumentasi;terjadi banjir ROB / pasang air laut memasuki rumah warga;;;;0;140;0
3250;1306 105 2022 012 022 1;1306;22/12/22;PUTING BELIUNG;Kec. 2x11 Anam Lingkung Negri. Sungai asam;PADANG PARIAMAN;SUMATERA BARAT;Dokumentasi;Angin yang kencang dan disertai hujan yang lebat sehingga menyebabkan pohon tersebut tumbang menimpa fasilitas sekolah;;;;0;;1
3251;1705 105 2022 012 022 1;1705;22/12/22;PUTING BELIUNG;Kec. Seluma Selatan  DS Seluma Selatan  Kel Talang Saling;SELUMA;BENGKULU;Dokumentasi;Terjadi hujan dengan intensitas sedang hingga lebat disertai angin kencang;;;;1;;0
3252;7111 101 2022 012 022 1;7111;22/12/22;BANJIR;Kec.   kotabunan  Ds. Bukaka;BOLAANG MONGONDOW TIMUR;SULAWESI UTARA;Dokumentasi;Dipicu akibat intensitas curah hujan tinggi;;;;0;4;0
3253;1212 101 2022 012 022 1;1212;22/12/22;BANJIR;Kec. Hamparan Perak Ds. Kota Rantang Ds. Paluh Manan Kec. Galang Ds. Pisang Pala  Kec. Tanjung Morawa Ds. Punden Rejo;DELI SERDANG;SUMATERA UTARA;Dokumentasi;Hujan dengan intensitas tinggi menyebabkan debit air di drainase naik Mengakibatkan drainase tidak dapat menampung air hingga meluap ke pemukiman warga;;;;0;101;0
3254;3310 102 2022 012 021 1;3310;21/12/22;TANAH LONGSOR;Kec.Kemalang Ds.Balerante;KLATEN;JAWA TENGAH;Dokumentasi;Dipicu Tebing dengan ketinggian sekitar 100 Meter lebar 100 Meter longsor menimpa truk;2;;;0;;0
3255;3201 105 2022 012 021 1;3201;21/12/22;PUTING BELIUNG;Kec. Jonggol Ds. Singajaya;BOGOR;JAWA BARAT;Dokumentasi;Dikarenakan hujan deras dan angin kencang yang cukup lama sehingga mengakibatkan pohon tumbang dan menimpa atap rumah;;;;1;;0
3256;3579 105 2022 012 021 1;3579;21/12/22;PUTING BELIUNG;Kec. Batu  Ds. Sisir;KOTA BATU;JAWA TIMUR;Dokumentasi;Angin Puting Beliung yang sudah sering terjadi di area Pasar sayur Stadion Brantas kali ini terjadi sekitar selama 5 menit mengakibatkan beberapa atap kios dari terpal tersingkap dan robek serta rangka atap yang terbuat dari bambu patah.;;;;0;;38
3257;1213 101 2022 012 021 1;1213;21/12/22;BANJIR;Kec. Tanjung Pura Ds. Pantai Cermin Ds. Paya Perupuk Ds. Suka Maju Ds. Pekubuan Kec.  Hinai Ds. Cempa  Ds. Muka Paya Kec. Stabat Ds. Pantai Gemi Ds. Karang Rejo Ds. Mangga  Ds. Kwala Begumit Ds. Banyu Mas Kec. Secanggang Ds. Karang Gading Ds. Perkotaan  Ds. Karang Anyar Ds. Kepala Sungai Kec. Sei Lepan Ds. Harapan Baru Ds. Lama Baru  Kec. Padang Tualang Ds. Kuala Besilam Kec. Sei Bingei Ds. Purwo Binangun Kec. Kuala Kel. Pekan Kuala Kec. Wampu;LANGKAT;SUMATERA UTARA;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi disertai area pemukiman warga lebih rendah daripada sungai;;;;0;2557;0
3258;3210 102 2022 012 021 1;3210;21/12/22;TANAH LONGSOR;Kec.Malausma. Ds.a Buninagara Kec. Sukahaji Ds. Cikeusik Kec. Cingambul Ds.  Wangkelang Kec. Talaga Ds. Talaga Kulon Kec. Rajagaluh Ds.  Babakankareo;MAJALENGKA;JAWA BARAT;Dokumentasi;Dipicu hujan yang menjadi salah satu faktor pendukung terjadinya bencana longsor;;;;0;;0
3259;7207 104 2022 012 021 1;7207;21/12/22;GELOMBANG PASANG / ABRASI;Kec.  Keramat Ds. Busak l;BUOL;SULAWESI TENGAH;Dokumentasi;Telah terjadi gelombang pasang dengan ketinggian ± 1 - 1,30 m. yang menyebabkan abrasi pantai dan telah merusak pemukiman warga;;;;0;;0
3260;3209 101 2022 012 021 1;3209;21/12/22;BANJIR;Kec. Mundu Desa. Mundu Desa Luwung  Kec. Ciwaringin Desa Ciwaringin Desa Babakan;CIREBON;JAWA BARAT;Dokumentasi;Hujan dengan intensitas tinggi sehingga menyebabkan meluapnya Sungai Kali Lunyu Kalijaga dan Cikalong.;;;;0;1551;0
3261;1114 101 2022 012 021 1;1114;21/12/22;BANJIR;Kec Seruway    Gp Gelung    Gp Tangsi Lama Gp Baru Gp Pantai Balai Kec Tamiang Hulu    Gp Ronggoh Kec Kejuruan Muda Gp Sungai Liput Gampong Suka Makmur  Kec Bendahara  Gp Marlempang  Gp Rantau Pakam  Gp Teluk Halban    Gp  Lubuk Bathil    Gp Lambung Blang    Gp Mesjid BDH    Gp Senebok Dalam Mesjid  Gp Teluk Kepayang   Gp Balai   Gp Cinta Raja   Gp Teluk Kemiri   Gp Bandar Baru   Gp Alur Cantik   Gp Raja   Gp Bandar Khalifah   Gp Tengku Tinggi    Gp Tanjung Binjai   Gp Kuala Genting   Kec Tenggulun Gp Simpang Kiri   Gp Rimba Sawang  Kota Kuala Simpang Gp Kota Kualasimpang   Gp Kota Lintang;ACEH TAMIANG;ACEH;Dokumentasi;Dipicu akibat intensitas curah hujan tinggi menyebabkan tanggul sungai jebol;;;;0;143;0
3262;3274 101 2022 012 021 1;3274;21/12/22;BANJIR;Kec.Harjamukti Kel. Kalijaga Kec.Kejaksan Kel. Kejaksan;KOTA CIREBON;JAWA BARAT;Dokumentasi;Hujan dengan intensitas sedang-tinggi disertai angin kencang selama ±3 Jam di Kota Cirebon;;;;0;80;0
3263;3210 102 2022 012 020 1;3210;20/12/22;TANAH LONGSOR;Kec.Cingambul Ds.Wangkelang Kec.Talaga Ds. Talaga Kulon;MAJALENGKA;JAWA BARAT;Dokumentasi;Dipicu hujan dengan intensitas sedang-tinggi dengan kurun waktu yang lama dan mengakibatkan terjadinya longsor yang menutupi saluran irigasi sehingga air meluap;;;;0;;0
3264;1111 101 2022 012 020 1;1111;20/12/22;BANJIR;Kec. Lhoksukon Gp Meucat Gp Mns Rayeuk  Gp Mns Rawa Gp Krueng Kec. Samudera Gp Tanjong Awe Gp Tanjong Reungkam Gp Tanjong Hagu Gp Madan Gp Teupin Ara Gp Tanjong Baroh Gp Teupin Beulangan - Gp Tanjong Mesjid Gp Kito Kec. Cot Girek Gp Trieng Kec. Matangkuli - Gp Pante Pirak - Gp Siren - Gp Meunye Pirak - Gp Tanjong Haji Muda - Gp Ceubrek Pirak - Gp  Lawang Pirak - Gp Alue Tho - Gp Hagu - Gp Punti Matangkuli - Gp Tumpok Barat - Gp Alue Euntok - Gp Tanjong Tgk. Kari - Gp Meuria - Gp Tanjong Tgk. Ali - Gp Teungoh Seuleumak Kec. Syamtalira Aron - Gp Tanjong Krueng Pase - Gp Teungoh - Gp Matang Meuye - Gp Blang - Gp Glok Kec. Syamtalira Bayu Gp Alue Majron Gp Blang Majron Gp Seuneubok Baro Kec. Banda Baro Gp amuan - Gp Aluekeurinyai - Gp Ulee Nyeue - Gp Paya Uleue Gp Cot Jabet - Gp Paya Dua - Gp Paya Beunyot - Gp Sangkelan - Gp Blang Pala Kec. Nibong Gp eupin Jok Kec. Nisam Kec. Sp. Keuramat Kec. Kuta Makmur Kec. Tanah Luas G Blang - Gp Rayeuk Kuta - Gp Serbajaman Baroh - Gp Tanjong Mesjid - Gp Trieng - Gp Ujong Baroh SB Kec. Tanah Pasir Gp Alue Kec. Langkahan Gp Buket Linteung Kec. Geuredong Pase  Gp Darul Aman - Gp Lhok Asan;ACEH UTARA;ACEH;Dokumentasi;Dipicu oleh hujan dengan intensitas sedang hingga tinggi menyebabkan debit air sungai Krueng Keureuto, Krueng Peuto dan sungai Krueng pase mulai meninggi dan meluap;;;;0;1866;0
3265;1174 101 2022 012 020 1;1174;20/12/22;BANJIR;Kec. Blang Mangat Ds. Kumbang Peunteut Ds. Rayeuk Kareung Ds. Asan Kareung Ds. Blang Buloh Kec. Muara Dua Ds. Desa Blang Pulo Ds. Desa Cot Tring Ds. Desa Ujong Pacu Kec. Muara Satu Ds. Teumpok Tengah Ds. Hagu tengah Ds. Kampung jawa lama;KOTA LHOKSEUMAWE;ACEH;Dokumentasi;dipicu Hujan selama bulan Desember dengan intensitas tinggi hingga sungai krung pase tidak sanggup menampung debet air yang besar sehingga meluap ke pemukiman penduduk terutama di Desa Blang Buloh Kec. Blang Mangat.;;;;0;706;0
3266;1105 101 2022 012 020 1;1105;20/12/22;BANJIR;Kec. Birem Bayeun Gp. Peutow Kec. Rantau Selamat Gp. Alue Kol Gp. Alue Punti Kec.Pante Bidari     Gp.Pante Labu;ACEH TIMUR;ACEH;Dokumentasi;Dipicu curah hujan yang tinggi disertai meluapnya beberapa sungai sehingga menyebabkan terjadinya banjir dan tanah longsor;;;;0;156;0
3267;3318 101 2022 012 019 1;3318;19/12/22;BANJIR;Kec. Margorejo Kec. Pati Kec. Tambakromo;PATI;JAWA TENGAH;Dokumentasi;Hujan yang terjadi selama 2 jam mengakibatkan pondasi jembatan tergerus aliran sungai maron dan mengakibatkan separuh badan jembatan berlubang dan tidak bisa dilalui kendaraan roda empat.;;;;0;495;0
3268;1213 101 2022 012 018 1;1213;18/12/22;BANJIR;Kec. Padang Tualang Ds. Besilam Kec. Tanjung Pura Kec. Hinai;LANGKAT;SUMATERA UTARA;Dokumentasi;Dipicu hujan dengan intesitas tinggi;;;;0;1903;0
3269;1274 101 2022 012 018 1;1274;18/12/22;BANJIR;Kec. Tebing Tinggi Kota Kel. Tebing Tinggi Lama Kel. Bandar Utama Kec. Bajenis Kel. Teluk Karang Kel. Brohol Kel. Pinang Mancung Kel. Bulian Kel. Bandar Sakti Kec. Rambutan Kel. Sri Padang Kel. Lalang Kec. Padang Hilir Kel. Tambang Hulu;KOTA TEBING TINGGI;SUMATERA UTARA;Dokumentasi;Dipicu curah hujan tinggi dengan durasi cukup lama yang terjadi di hulu sungai padang yaitu di Kab. Serdang Bedagai sungai Pispis dan beberapa anak sungai, sehingga menyebabkan meluapnya air sungai Padang dan menggenangi pemukiman warga sejak hari Minggu, 18 Desember 2022, Pkl. 21:00 WIB hingga saat ini;;;;0;1224;0
3270;3210 102 2022 012 018 1;3210;18/12/22;TANAH LONGSOR;Kec. Lemahsugih Ds. Sadawangi  Kec. Bantarujeg Ds. Silihwangi;MAJALENGKA;JAWA BARAT;Dokumentasi;dipicu akibat hujan dengan intensitas sedang hingga lebat serta tanah yang labil sehingga menyebabkan longsor;;;;0;;0
3271;1101 101 2022 012 018 1;1101;18/12/22;BANJIR;Kec. Teupah Tengah Ds.  Abail Kec. Teupah Ds. Leubang Hulu  Ds. Leubang;SIMEULUE;ACEH;Dokumentasi;hujan dengan intensitas sedang hingga lebat yang mengguyur Kab. Simeulue;;;;0;128;0
3272;7108 101 2022 012 018 1;7108;18/12/22;BANJIR;Kec. Siau Timur Kamp. Sawang;KEPULAUAN SIAU TAGULANDANG BIARO;SULAWESI UTARA;Dokumentasi;hujan dengan intensitas tinggi dan berdurasi lama;1;;;0;60;0
3273;3204 102 2022 012 018 1;3204;18/12/22;TANAH LONGSOR;Kec. Nagreg Ds.  Nagreg Kendan;BANDUNG;JAWA BARAT;Dokumentasi;dipicu akibat hujan dengan intensitas lebat dan mengakibatkan tanah longsor;;;;8;;0
3274;3209 105 2022 012 018 1;3209;18/12/22;PUTING BELIUNG;Kec. Losari  Ds.  Losari Kidul;CIREBON;JAWA BARAT;Dokumentasi;Hujan Deras disertai angin kencang sehingga mengakibat beberapa rumah mengalami kerusakan;;;;50;;0
3275;3215 101 2022 012 018 1;3215;18/12/22;BANJIR;Kec. Telukjambe Barat Ds. Karang Ligar Kec. Banyusari Ds. Gempol Ds. Jayamukti Kec. Rengasdengklok Ds. Rengasdengklok Selatan Kec. Cilamaya Wetan Ds. Tegalwaru;KARAWANG;JAWA BARAT;Dokumentasi;hujan sedang hingga lebat dengan durasi lama.;;;;0;669;0
3276;3202 105 2022 012 017 1;3202;17/12/22;PUTING BELIUNG;Kec. Nagrak  Ds. Girijaya;SUKABUMI;JAWA BARAT;Dokumentasi;Curah Hujan Ekstrim;;;;1;;0
3277;7471 105 2022 012 017 1;7471;17/12/22;PUTING BELIUNG;Kec. Abeli  Kel. Lapulu Kel. Puday;KOTA KENDARI;SULAWESI TENGGARA;Dokumentasi;hujan disertai angin kencang;;;;0;;0
3278;6106 101 2022 012 017 1;6106;17/12/22;BANJIR;Kec. Sandai  Ds.  Demit Ds. Istana  Ds. Muara Jekak  Ds. Penjawaan  Ds. Petai Patah  Ds. Randau Jungkal  Ds. Sandai  Ds. Sandai Kiri Kec. Simpang Hulu  Ds. Balai Pinang;KETAPANG;KALIMANTAN BARAT;Dokumentasi;Hujan dengan intensitas tinggi sehingga sungai tidak mampu menampung debit air hujan sehingga terjadi banjir .;;;;0;959;0
3279;1803 105 2022 012 017 1;1803;17/12/22;PUTING BELIUNG;Kec. Natar  Ds.  Branti Raya Ds. Rulung Helok Ds. Rulung Mulya Ds. Mandan;LAMPUNG SELATAN;LAMPUNG;Dokumentasi;Pada hari  Sabtu tanggal 17 Desember 2022 pukul 15:30 WIB terjadi angin puting beliung disertai hujan sehingga menyebabkan gangguan terhadap kehidupan dan penghidupan masyarakat yang menyebabkan kerusakan dan kerugian akibat dampak bencana banjir.;1;;;122;;0
3280;3211 101 2022 012 017 1;3211;17/12/22;BANJIR;Kec. Cimanggung Ds. Cihanjuang Ds. Sawah Dadap Ds. Sindang Pakuon Ds. Sindang Galih Ds. Sukadana Ds cisurupan DS Pamatang Ds cimuncang Ds cuklik Kec. Jatinangor Ds. Cinta Mulia Ds. Hegarmanah Ds. Cisempur Ds. Mekargalih Ds. Cipacing Ds. Sayang Ds. Cikeruh Ds. Cibeusi;SUMEDANG;JAWA BARAT;Dokumentasi;Dipicu hujan dengan intensitas tinggi pada hari Sabtu, 17 Desember 2022 dan berangsur lama sejak pkl. 14:00 WIB sehingga mengakibatkan air sungai meluap & struktur tanah menjadi labil;2;;;33;1703;0
3281;1114 101 2022 012 016 1;1114;16/12/22;BANJIR;Kec. Bendahara Gp. Rantau Pakam Gp. Marlempang Gp. Balai Gp. Lambung Blang Gp. Lubuk Batil Gp. Mesjid Sungai Iyu Kec. Seruway;ACEH TAMIANG;ACEH;Dokumentasi;Akibat intensitas hujan sedang hingga lebat;;;;0;100;0
3282;3205 101 2022 012 016 1;3205;16/12/22;BANJIR;Kec. Cikajang Ds. Giriawas;GARUT;JAWA BARAT;Dokumentasi;Dipicu hujan deras di wilayah Cikajang sehingga mengakibatkan sungai anak Cikaray dan sungai Cigentur meluap pada hari Jumat, 16 Des 2022, Pkl. 13:00 WIB;;;;0;32;0
3283;7501 101 2022 012 016 1;7501;16/12/22;BANJIR;Kec. Tilamuta  Ds.  Piloliyanga Ds. Limbato Ds. Mohunggo Ds. Hungayonaa Ds. Lamu Kec. Dulupi Ds. Dulupi Ds. Mohungo Kec. Sumalata Ds. Lelato Ds. Akasia;BOALEMO;GORONTALO;Dokumentasi;Akibat curah hujan dengan intensitas tinggi, sedang/lebat  yang melanda Kabupaten Boalemo menyebabkan sungai meluap sampai ke pemukiman warga yang berada di bantaran sungai sampai pusat kota kabupaten Boalemo;;;;0;2234;0
3284;3202 105 2022 012 016 1;3202;16/12/22;PUTING BELIUNG;Kec. Cicurug Ds.  Benda Kec. Nagrak Ds. Babakan Ds. Kalaparea Kec. Parakansalak Ds. Sukatani;SUKABUMI;JAWA BARAT;Dokumentasi;dipicu akibat angin kencang yang terjadi dan menyebabkan beberapa rumah rusak;;;;4;;0
3285;3320 105 2022 012 016 1;3320;16/12/22;PUTING BELIUNG;Kec. Kedung Ds.  Karangaji;JEPARA;JAWA TENGAH;Dokumentasi;Dipicu akibat hujan disertai angin kencang dari arah barat ke timur menyebabkan kerusakan rumah warga;;;1;62;;2
3286;3171 101 2022 012 016 1;3171;16/12/22;BANJIR;Kec. Pasar Minggu Kel. Cilandak Kec. Mampang Prapatan Kel. Kuningan Barat Kec. Kebayoran Baru Kel. Cipete Utara;KOTA JAKARTA SELATAN;DKI JAKARTA;Dokumentasi;Dipicu akibat hujan dengan intensitas lebat disertai angin kencang yang terjadi di wilayah Jakarta Selatan dan meluapnya kali Krukut dan menggenangi rumah warga;;;;1;373;0
3287;7602 101 2022 012 016 1;7602;16/12/22;BANJIR;Kec. Binuang Ds.  Amola Ds. Kuajang Ds. Batetangga Kec. Polewali Ds. Takatidung Ds. Polewali Ds. Wattang Ds. Lantora Ds. Sulewantang Kec. Matakali Ds. Patampauna Ds. Indomakkombong Kec. Wonomulyo Ds. Galeso;POLEWALI MANDAR;SULAWESI BARAT;Dokumentasi;dipicu akibat hujan yang terjadi dengan intensitas lebat dan disertai angin kencang;;;;41;;1
3288;3207 101 2022 012 016 1;3207;16/12/22;BANJIR;Kec. Rancah Ds.  Karangpari;CIAMIS;JAWA BARAT;Dokumentasi;Dipicu akibat hujan dengan intensitas lebat dan angin kencang;;;;4;3;0
3289;3505 102 2022 012 016 1;3505;16/12/22;TANAH LONGSOR;Kec. Selorejo Ds.  Sumberagung Ds. Selorejo Ds. Pohgajih;BLITAR;JAWA TIMUR;Dokumentasi;hujan dengan intensitas tinggi;;;;0;;0
3290;3207 105 2022 012 016 1;3207;16/12/22;PUTING BELIUNG;Kec. Rajadesa Ds. Tanjungsari;CIAMIS;JAWA BARAT;Dokumentasi;dipicu akibat angin kencang yang terjadi di wilayah Kec. Rajadesa;;;;7;;0
3291;3374 101 2022 012 016 1;3374;16/12/22;BANJIR;Kec. Tembalang Kel. Sendangmulyo;KOTA SEMARANG;JAWA TENGAH;Dokumentasi;Hujan Deras disertai angin menyebabkan tanggul samping lapangan golf di Ketileng Jebol dan melimpah ke beberapa area pemukiman di Perumahan Ketileng Indah yang menyebabkan beberapa rumah terdampak limpasan air tersebut.;;;;0;18;0
3292;1408 101 2022 012 016 1;1408;16/12/22;BANJIR;Kec. Rupat Kel. Terkul;BENGKALIS;RIAU;Dokumentasi;curah hujan tinggi;;;;0;26;0
3293;3201 105 2022 012 016 1;3201;16/12/22;PUTING BELIUNG;Kec. Sukaraja Ds. Pasir Jambu;BOGOR;JAWA BARAT;Dokumentasi;hujan intensitas tinggi yang disertai angin kencang yang mengakibatkan beberapa unit rumah mengalami kerusakan;;;;0;;0
3294;3203 101 2022 012 016 1;3203;16/12/22;BANJIR;Kec. Sukanegara Ds. Sukamekar Ds. Sukanegara Ds. Sukajadi Ds. Sukalaksana Kec. Campaka Kec. Campakamulya Kec. Takokak Ds. Waringinsari Kec. Kadupandak Ds. Kadupandak Ds. Sukaharja;CIANJUR;JAWA BARAT;Dokumentasi;Dipicu intensitas hujan yang tinggi disertai struktur tanah yang labil;;;;0;134;1
3295;3301 102 2022 012 015 1;3301;15/12/22;TANAH LONGSOR;Kec. Karangpucung Ds.  Bengbulang;CILACAP;JAWA TENGAH;Dokumentasi;dipicu akibat hujan dengan intensitas sedang hingga lebat sejak pukul 13.00 WIB sd 16.00 WIB dan pada pukul 16.00 WIB terjadi longsor dan mengakibatkan beberapa unit rumah mengalami kerusakan;;;;5;;0
3296;1212 101 2022 012 015 1;1212;15/12/22;BANJIR;Kec. Hamparan Perak  Ds.  Paya Bakung Ds. Paluh Mahan Ds. Tandem Hilir 1 Kec. Tanjung Morawa Ds. Punden Rejo  Kec. Galang Ds. Bandar Kuala  Kec. Percut Sei Tuan  Ds. Tambung;DELI SERDANG;SUMATERA UTARA;Dokumentasi;Hujan deras dengan durasi yang lama pada hari Senin,Selasa dan Rabu tgl 12-14 Desember 2022 di Kabupaten Deli Serdang dan Intensitas  hujan yg cukup lama sehingga meluapnya air sungai ke pemukiman warga. di tambah Drainase yang kurang menampung debit air Tanggul jebol di Kecamatan Hamparan Perak dan sampai sekarang tanggul yang jebol belum bisa diperbaiki karena debit air masih tinggi;;1;1;2;735;0
3297;3301 102 2022 012 015 1;3301;15/12/22;TANAH LONGSOR;Kec. Karangpucung  Ds. Bengbulang Ds.;CILACAP;JAWA TENGAH;Dokumentasi;hujan dengan intensitas tinggi;;;;0;;0
3298;1108 101 2022 012 014 1;1108;14/12/22;BANJIR;Kec. Blang Bintang Gp. Cot Leuot Gp. Teupin Batee;ACEH BESAR;ACEH;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi dan tersumbatnya drainase;;;;0;33;0
3299;3510 105 2022 012 014 1;3510;14/12/22;PUTING BELIUNG;Kec. Kalibaru  Ds.  Kalibaru Wetan Ds. Kebunrejo;BANYUWANGI;JAWA TIMUR;Dokumentasi;hujan lebat disertai angin kencang;;;;0;;0
3300;1109 101 2022 012 014 1;1109;14/12/22;BANJIR;Kec. Padang Tiji Gp. Siren Paloh Gp. Pante Cermen Gp. Mesjid Peudaya Gp. Cut Paloh Gp. Sukon Peudaya;PIDIE;ACEH;Dokumentasi;Dipicu hujan dengan intensitas tinggi yang melanda wilayah Kabupaten Pidie mengakibatkan meluapnya air Sungai Krueng Palo;;;;0;74;0
3301;3519 105 2022 012 014 1;3519;14/12/22;PUTING BELIUNG;Kec. Sawahan Ds. Sidomulyo;MADIUN;JAWA TIMUR;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai angin kencang;;;1;5;;0
3302;1101 101 2022 012 014 1;1101;14/12/22;BANJIR;Kec. Simeulue Timur Ds. Suak Buluh Ds. Ganting Ds. Air Pinang Ds. Sefoyan Kec. Teupah Selatan Ds. Labuhan Bajau Ds. Labuhan Jaya Ds. Labuhan Bakti Ds. Latiung Ds. Trans Maranti Ds. Blang Seubel Ds. Pasir Tinggi Kec. Teupah Tengah Ds. Abail Ds. Nancawa Ds. Situbuk Kec. Teupah Barat Ds. Leubang Hulu Ds. Neibos Kec. Teluk Dalam Ds. Kula Baru Ds. Tanjung Raya Ds. Luan Baru Ds. Sambay Kec. Salang Ds. Panton Lawe Kec. Simeulue Barat Ds. Trans Sigulai Kec. Alafan Ds. Lamerem Ds. Langi Ds. Lubuk Baik;SIMEULUE;ACEH;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi;;;;0;377;0
3303;3308 102 2022 012 014 1;3308;14/12/22;TANAH LONGSOR;Kec. Mertoyudan Ds. Sampit;MAGELANG;JAWA TENGAH;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai kondisi tanah yang labil;;;;1;;0
3304;1410 101 2022 012 014 1;1410;14/12/22;BANJIR;Kec. Rangsang Barat Ds. Sei Cina Ds. Mekar Baru Ds. Bina Maju Ds. Melai;KEPULAUAN MERANTI;RIAU;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai air pasang ROB;;;;0;639;0
3305;3307 102 2022 012 014 1;3307;14/12/22;TANAH LONGSOR;Kec. Kalibawang Ds. Kalikarung;WONOSOBO;JAWA TENGAH;Dokumentasi;Hujan yang terjadi selama -+ 6 jam mengakibatkan tebing setinggi 7 meter lebar 5 meter ketebalan 1 meter longsor menutup akses jalan desa.;;;;0;;0
3306;2103 101 2022 012 014 1;2103;14/12/22;BANJIR;Kec. Bunguran Timur Kel. Ranai Darat Kel. Bandarsyah Kel. Ranai Ds. Batu Hitam Ds. Sungai Ulu Ds. Batu Gajah Kec. Bunguran Timur Laut Ds. Sebadai Hulu Ds. Ceruk;NATUNA;KEPULAUAN RIAU;Dokumentasi;dipicu akibat hujan dengan intensitas lebat di Kep. Natuna;;;;1;998;0
3307;3505 105 2022 012 013 1;3505;13/12/22;PUTING BELIUNG;Kec. Srengat Kel. Kauman Kel. Srengat Kec. Doko Ds. Jambepawon Kec. Kesamben Ds. Kemirigede Kec. Wlingi Kel. Beru;BLITAR;JAWA TIMUR;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai angin kencang;;;1;13;;0
3308;3314 102 2022 012 013 1;3314;13/12/22;TANAH LONGSOR;Kec. Sambirejo Ds. Jetis Ds. Musuk;SRAGEN;JAWA TENGAH;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai kondisi tanah yang labil;;;;0;;0
3309;1301 101 2022 012 013 1;1301;13/12/22;BANJIR;Kec. Siberut Utara Ds. Malancan;KEPULAUAN MENTAWAI;SUMATERA BARAT;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai drainase yang sempit mengakibatkan air meluap;;;;0;223;0
3310;7318 102 2022 012 013 1;7318;13/12/22;TANAH LONGSOR;Kec. Mappa’ Ds. Lembang Miallo;TANA TORAJA;SULAWESI SELATAN;Dokumentasi;Dipicu curah hujan dengan intensitas tinggi disertai kondisi tanah yang labil;;;2;6;;0
3311;5207 101 2022 012 013 1;5207;13/12/22;BANJIR;Kec. Taliwang Kel. Telaga Bertong Lingk. Kokar Dalam;SUMBAWA BARAT;NUSA TENGGARA BARAT;Dokumentasi;Dipicu hujan dengan intensitas tinggi;;;;3;;0
3312;5107 108 2022 012 013 1;5107;13/12/22;GEMPA BUMI;Kec. Kubu Kec. Manggis Kec. Karangasem Kec. Abang Kec. Rendang Kec. Bebandem;KARANGASEM;BALI;Dokumentasi;;;;8;177;;46
